Topic ID,Topic Word Scores,Generic Label
27,"[('won', 0.15741101952835634), ('trump', 0.05170353548424771), ('lose', 0.022912310392430954), ('president', 0.021924318976069994), ('httpstcoy2yrh1wnja', 0.02140117678002295), ('httpstcom4mtnl7s6v', 0.02140117678002295), ('httpstcojadexut7wf', 0.02140117678002295), ('httpstcomfxdwy7qww', 0.02140117678002295), ('httpstcoh9ecwog1ht', 0.02140117678002295), ('httpstco8eartwyybl', 0.02140117678002295)]",Politics
28,"[('bryant', 0.03988727724995524), ('makhia', 0.0355334791639913), ('police', 0.034001731250285654), ('killed', 0.02785286495781681), ('girl', 0.023849232915017896), ('shot', 0.02369806261360692), ('shooting', 0.015617653100740396), ('justice', 0.015061376324250461), ('toledo', 0.014067357670771684), ('fatally', 0.014067357670771684)]",Society
29,"[('border', 0.06979943957784071), ('immigrants', 0.03042938414619479), ('crisis', 0.029941329310645363), ('deported', 0.024292943763717836), ('bidens', 0.019796984305347987), ('bidenbordercrisis', 0.018807469192706434), ('biden', 0.013707600664705992), ('deportations', 0.012777260798954684), ('migrant', 0.011030820993750818), ('borders', 0.010079278813681097)]",Politics
30,"[('recall', 0.09070256337587637), ('gavin', 0.044370821132237837), ('vote', 0.029133497111754718), ('ballots', 0.02325318250222708), ('votes', 0.02001541037695477), ('election', 0.015311227306225951), ('voter', 0.015218527585979105), ('governor', 0.01396661075738954), ('californians', 0.013174481341927368), ('rigged', 0.009195740847712592)]",Politics
31,"[('bay', 0.13493304531801098), ('francisco', 0.12272928443539505), ('san', 0.10852379183550333), ('warning', 0.09922027074030529), ('earthquake', 0.09502924047052), ('httpstcojy5p5twcyn', 0.0789363570363477), ('httpstco56hhmibdin', 0.04644336466508204), ('0400', 0.03535677818468951), ('0628', 0.026741030734401938), ('foreshock', 0.021842123161755354)]",Nature
32,"[('pandemic', 0.10806425119493648), ('vine', 0.015481437565906316), ('wgnnews', 0.014534089182476026), ('panic', 0.012242432049271057), ('millions', 0.010915338222115243), ('reasons', 0.009987570142627163), ('kofcorona', 0.008550470162111972), ('fearfire', 0.008550470162111972), ('1000s', 0.008550470162111972), ('journalistic', 0.008550470162111972)]",Health
33,"[('deaths', 0.059589779615895094), ('covid19', 0.021433044475377066), ('covid', 0.019157055821731064), ('death', 0.016770366362590917), ('died', 0.01518652325370458), ('dying', 0.014780541427942528), ('diabetes', 0.011936789992335363), ('disease', 0.011871705412333459), ('hoax', 0.010505705106493657), ('cancer', 0.009145846995682386)]",Health
34,"[('delta', 0.12236730962525721), ('covid22', 0.016241749791383132), ('infectious', 0.01443196603013001), ('unvaccinated', 0.013179908692861), ('covid19', 0.012679573514703621), ('vaccinated', 0.011802854326060996), ('cdc', 0.011724236925516005), ('immunity', 0.011112508524709337), ('deltavariant', 0.009938667617639249), ('jampj', 0.008915540263588564)]",Health
35,"[('critical', 0.07423610613009239), ('race', 0.07346064401147546), ('racism', 0.04270986839273225), ('racist', 0.031031426899138688), ('slavery', 0.021509658771879197), ('racists', 0.0174852978323293), ('conservatives', 0.00973251052191637), ('civil', 0.0094063626371736), ('liberals', 0.009034718399880683), ('judge', 0.008572784329183809)]",Society
36,"[('mars', 0.07495577387460922), ('space', 0.06265799277996947), ('nasa', 0.04078550703881141), ('planet', 0.03407974580219846), ('himalayas', 0.03034434229316946), ('moon', 0.02358193077551146), ('meteor', 0.021548147246204564), ('asteroid', 0.021548147246204564), ('saturn', 0.021548147246204564), ('spacecraft', 0.020229561528779638)]",Nature
